2021-05-14T01:11:03,643 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T01:11:03,669 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-14T01:11:03,707 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-14T01:11:03,708 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-14T01:11:03,746 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T01:11:03,747 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-14T01:11:03,767 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T01:11:28,729 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T01:11:54,917 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T01:11:54,939 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-14T01:11:54,974 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-14T01:11:54,975 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-14T01:11:55,005 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T01:11:55,006 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-14T01:11:55,022 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T01:12:06,128 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T01:12:06,183 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-14T01:12:06,255 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-14T01:12:06,259 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-14T01:12:06,303 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T01:12:06,304 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-14T01:12:06,323 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T01:12:18,124 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T01:12:18,178 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-14T01:12:18,259 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-14T01:12:18,261 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-14T01:12:18,346 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-14T01:12:18,347 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-14T01:12:18,375 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-14T13:21:55,623 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-15T02:02:32,506 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-15T02:04:57,213 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:04:57,231 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:04:57,269 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-15T02:04:57,271 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-15T02:04:57,308 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:04:57,309 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-15T02:04:57,335 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-15T02:05:10,067 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-15T02:05:17,783 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:05:17,801 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:05:17,846 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-15T02:05:17,848 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-15T02:05:17,888 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:05:17,890 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-15T02:05:17,920 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
2021-05-15T02:05:45,354 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:05:45,370 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:07:49,047 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:07:49,067 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:08:24,085 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:08:24,126 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:08:49,320 TRACE [Test worker]: ClientController                     - updateClient - method entered; clientDto = ClientDto(super=BaseDto(id=1), name=c1, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:08:49,336 TRACE [Test worker]: ClientController                     - updateClient - method finished; resultedClientDto = null 
2021-05-15T02:08:49,376 TRACE [Test worker]: ClientController                     - deleteClient - method entered; client = null 
2021-05-15T02:08:49,377 TRACE [Test worker]: ClientController                     - deleteClient - method finished 
2021-05-15T02:08:49,408 TRACE [Test worker]: ClientController                     - addClient - method entered; clientDto = ClientDto(super=BaseDto(id=3), name=newClient, dateOfBirth=null, address=null, gunTypes=null) 
2021-05-15T02:08:49,409 TRACE [Test worker]: ClientController                     - addClient - method finished; resultModel(type ClientDto) = null 
2021-05-15T02:08:49,426 TRACE [Test worker]: ClientController                     - getAllClients - method entered 
